"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","3/25/2024","11:16 AM"

"SN","MAGPX15265701"
"Batch","Chul.(SET2)_RTSS_25_Mar_2024_IgG1_MK"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Chul.(SET2)_RTSS_25_Mar_2024_TotalIgG_AM"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","Off"
"BatchStartTime","3/25/2024 11:24:17 AM"
"BatchStopTime","3/25/2024 12:36:43 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","fisherband #125665501","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","10"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 3/25/2024 7:33:23 AM"
"Last VER Verification","Passed 3/25/2024 7:34:26 AM"
"Last Fluidics Test","Passed 3/25/2024 7:35:45 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C03633","8/29/2025","3/25/2024 7:33:23 AM","27.1","27.1","27.1","27.1","203","220","397","397","0.00705","0.00704","0.00391","0.11537","Pass","MAGPX15265701"


"Samples","88","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"50(1,B7)","RCC-049-T08","117","1535.5","34.5","30","13","20.5","25","24.5","8082","45","1105"
"51(1,C7)","RCM-050","8808.5","535.5","205","18","12","1331","38","25.5","602","48","1207"
"52(1,D7)","RCC-050-T01","4534","37","28","14","13","25","25","28","114","40.5","1425"
"53(1,E7)","RCC-050-T07","303.5","20","28","58","10","16","20","1357","18088","30","1378"
"54(1,F7)","RCC-050-T08","223","35","31","79","13","24","26","5622.5","8017","60","1224"
"55(1,G7)","RCC-051-T01","152","4649","29","20","11","21","22","32","185","55.5","1348"
"56(1,H7)","RCC-051-T07","113","561.5","27","20","14","27","31","51","18816.5","58","1504"
"57(1,A8)","RCC-051-T08","206","675.5","33","19","14","23","30","30","7927","83","1217"
"58(1,B8)","RCM-052","2484","166","29","13","12","1304","30.5","20","222","56.5","1361"
"59(1,C8)","RCC-052-T01","332.5","881","58","51","64","57","65","161","292","92","1336"
"60(1,D8)","RCC-052-T07","49","996","39","18","12","17","17","32","19308.5","21","1502"
"61(1,E8)","RCC-052-T08","181.5","833.5","47","19","16.5","21","29.5","37","9313","83.5","1449"
"62(1,F8)","RCM-053","10212","154","35.5","26","16","133","37","72","292","150","1448"
"63(1,G8)","RCC-053-T01","3062.5","4616","31","15","12","17","23","25","158.5","56.5","1376"
"64(1,H8)","RCC-053-T07","587","2104","29","35","15","18","33","28.5","20003","65.5","1404"
"65(1,A9)","RCC-053-T08","398.5","2632","33","24.5","14","18","37","29","6168","62","883"
"66(1,B9)","RCM-056","4262","5025","61","28","20","53","57","50","389.5","104","1549"
"67(1,C9)","RCC-056-T01","257","1781","29","15","12","17","29","26","178","59","1354"
"68(1,D9)","RCC-056-T07","155","1079","29","20.5","17","24","50","40","20822","54","1451"
"69(1,E9)","RCC-056-T08","201","919","32","26","17","25","43.5","39","8011","86","1510"
"70(1,F9)","RCM-058","13245","69","86","47.5","41.5","10652","118","62","2060.5","227","978"
"71(1,G9)","RCC-058-T01","1196","2699","45","67.5","101","237.5","88","198","409","155.5","1411"
"72(1,H9)","RCC-058-T07","257","2192","38","26","30","33","48","59","17381","89","1447"
"73(1,A10)","RCC-058-T08","259","3058","38","28","30","37","57.5","62","5784","106","1144"
"74(1,B10)","RCM-059","6623","793","27","16","12","28","198","26","849","69.5","1484"
"75(1,C10)","RCC-059-T01","1062","291","33","42","30.5","31","46","61","200","78","1436"
"76(1,D10)","RCC-059-T07","158","109","30","91","11","16","23","24","19507.5","37","1441"
"77(1,E10)","RCC-059-T08","167","228.5","32.5","91","14","20","31","30","6700.5","65","1435"
"78(1,F10)","RCM-060","1116.5","1326","30","18","13","21","33","29","165","64.5","1440"
"79(1,G10)","RCC-060-T01","247","77","33","37","48.5","48","53","108.5","204.5","76","1610"
"80(1,H10)","RCC-060-T07","99","32","29","21","18","22","33","30","18821.5","45.5","1573"
"81(1,A11)","RCC-060-T08","319","72","39","51.5","43","60","131.5","99","18623","179","1413"
"82(1,B11)","RAM-001","8916","923","48","30","21","3910","1460.5","45","499.5","118","1179"
"83(1,C11)","RAC-001-T01","694.5","1462","38","38","28","58","87","84","312.5","99","1615"
"84(1,D11)","RAC-001-T06","146","221","28","24","16","26","54","42","2060.5","53","1025"
"85(1,E11)","RAC-001-T08","246","141","34","30","24","33","82","60","5389.5","118","1497"
"86(1,F11)","RAM-005","10113","4052","58","1280","25","2882.5","245","833.5","159","72","1512"
"87(1,G11)","RAC-005-T01","8552","130","41.5","51","57","2852","100.5","136","374","158","1492"
"88(1,H11)","RAC-005-T06","2117","33","32","22","16","600","70.5","31","19521","54","1624"
"89(1,A12)","RAC-005-T08","533","67","34","26","18","304","49","35.5","6467","87.5","1330"
"90(1,B12)","RAM-006","5017","181","3417","24","21","7133","145","39","1002","98.5","928"
"91(1,C12)","RAC-006-T01","308","42.5","37","47","25","94.5","45","47","305","97","1463"
"92(1,D12)","RAC-006-T06","200","24","29","19","11","27.5","25","32","10555","42","1488"
"93(1,E12)","RAC-006-T08","355","45","42","44","35","51","68","58","4505","159","1279"
"94(1,F12)","HCAM-001","263","37","40","33","27","33","48","43","275","115","1450"
"95(1,G12)","HCAM-001","301","43","38.5","31","33","35","63","53","317","153.5","1272"
"96(1,H12)","RAM-012","3369","334","31","15","14","26","58","25","557","61","1439"

"DataType:","Net MFI"
"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"1(1,A1)","Background0","-44.75","-1.75","-1.5","-2","-1.5","-0.75","-3","-0.5","-121.75","-16","997"
"2(1,B1)","African-Mix-Standard01","5242.25","643.75","1.5","-14","-9.5","517.75","41.5","-13.5","-404.25","30","753"
"3(1,C1)","African-Mix-Standard02","3344.25","204.75","-1.5","-18","-8.5","145.75","21","-12.5","-173.25","4","1176"
"4(1,D1)","African-Mix-Standard03","1604.25","70.25","1.5","-10","-3.5","39.75","9","-0.5","-51.25","19","961"
"5(1,E1)","African-Mix-Standard04","583.25","15.25","-0.5","-6","-2.5","6.75","4","-2.5","-39.25","-9","1147"
"6(1,F1)","African-Mix-Standard05","212.75","5.25","-1.5","-6","0.5","2.75","1.5","6.5","-19.25","19.5","1158"
"7(1,G1)","African-Mix-Standard06","31.75","-3.75","-2.5","-5","-4.5","-0.25","1","0.5","34.75","8.5","1240"
"8(1,H1)","African-Mix-Standard07","69.25","7.75","10.5","5","5.5","7.75","11","16.5","-42.25","17.5","1285"
"9(1,A2)","Background0","44.75","1.75","1.5","2","1.5","0.75","3","0.5","121.75","16","1124"
"10(1,B2)","African-Mix-Standard01","6523.25","579.25","-1.5","-16","-11.5","482.25","59","-17.5","-68.75","77","1141"
"11(1,C2)","African-Mix-Standard02","3735.25","200.25","-1.5","-10","-6.5","134.75","24.5","-12.5","-206.25","4.5","814"
"12(1,D2)","African-Mix-Standard03","1580.25","47.75","-3.5","-13","-9.5","30.75","-1","-16.5","-60.25","-7.5","1130"
"13(1,E2)","African-Mix-Standard04","602.75","2.25","-5.5","-11","-7.5","-0.25","-7","-12.5","48.25","-15","1110"
"14(1,F2)","African-Mix-Standard05","191.25","2.75","1.5","-5","-3.5","-1.75","0","-3.5","-12.25","6","1191"
"15(1,G2)","African-Mix-Standard06","69.25","7.75","0.5","-2","1","5.75","7","5.5","2.75","17.5","1187"
"16(1,H2)","African-Mix-Standard07","-2.25","2.25","0.5","-1.5","-0.5","-2.25","5","8.5","12.75","18","1194"
"17(1,A3)","Healthy-control-negative","308.75","50.75","49.5","33","26","38.75","46","53.5","202.25","180","736"
"18(1,B3)","Healthy-control-negative","-170.75","-16.75","-1.5","-11","-8.5","-6.25","-22","-15.5","-87.25","-56","1080"
"19(1,C3)","RCM-037","2015.75","755.25","439.5","-12","-7.5","1.75","-9.5","-16.5","31.75","-92","1028"
"20(1,D3)","RCC-037-T01","-226.25","5197.25","-4.5","-14.5","-12.5","-4.25","-16","-10","-219.75","-92","1141"
"21(1,E3)","RCC-037-T07","-336.75","2868.75","-11.5","-18","-12.5","-12.25","-16","-1.5","20581.75","-129","1143"
"22(1,F3)","RCC-037-T08","-247.75","2500.25","-7.5","-12","-8.5","-3.75","21","8.5","9011.75","-68","1229"
"23(1,G3)","RCM-040","9112.25","2145.25","-3.5","-15.5","-13.5","5222.25","887","2765","425.75","560","1195"
"24(1,H3)","RCC-040-T01","1526.75","-13.75","-11.5","-20","-14.5","47.75","98.5","-24.5","-279.25","-95","1367"
"25(1,A4)","RCC-040-T07","-150.75","-6.75","-8.5","-13","-11.5","-2.25","7","-17.5","21017.75","-107","1183"
"26(1,B4)","RCC-040-T08","-130.25","17.25","-3.5","-9","-11.5","3.75","20","-10.5","6930.75","-87","1148"
"27(1,C4)","RCM-042","10457.25","806.25","-8","-6.5","-9.5","492.25","-7.5","-14.5","125.75","-79","1257"
"28(1,D4)","RCC-042-T01","1707.75","4102.25","22","-5","11","3.75","-4","40","-219.75","-91.5","1324"
