"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","3/25/2024","11:16 AM"

"SN","MAGPX15265701"
"Batch","Chul.(SET2)_RTSS_25_Mar_2024_IgG1_MK"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Chul.(SET2)_RTSS_25_Mar_2024_TotalIgG_AM"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","Off"
"BatchStartTime","3/25/2024 11:24:17 AM"
"BatchStopTime","3/25/2024 12:36:43 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","fisherband #125665501","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","10"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 3/25/2024 7:33:23 AM"
"Last VER Verification","Passed 3/25/2024 7:34:26 AM"
"Last Fluidics Test","Passed 3/25/2024 7:35:45 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C03633","8/29/2025","3/25/2024 7:33:23 AM","27.1","27.1","27.1","27.1","203","220","397","397","0.00705","0.00704","0.00391","0.11537","Pass","MAGPX15265701"


"Samples","88","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"81(1,A11)","RCC-060-T08","-113.75","30.25","-0.5","16.5","16.5","26.75","82.5","49.5","18215.75","16","1413"
"82(1,B11)","RAM-001","8483.25","881.25","8.5","-5","-5.5","3876.75","1411.5","-4.5","92.25","-45","1179"
"83(1,C11)","RAC-001-T01","261.75","1420.25","-1.5","3","1.5","24.75","38","34.5","-94.75","-64","1615"
"84(1,D11)","RAC-001-T06","-286.75","179.25","-11.5","-11","-10.5","-7.25","5","-7.5","1653.25","-110","1025"
"85(1,E11)","RAC-001-T08","-186.75","99.25","-5.5","-5","-2.5","-0.25","33","10.5","4982.25","-45","1497"
"86(1,F11)","RAM-005","9680.25","4010.25","18.5","1245","-1.5","2849.25","196","784","-248.25","-91","1512"
"87(1,G11)","RAC-005-T01","8119.25","88.25","2","16","30.5","2818.75","51.5","86.5","-33.25","-5","1492"
"88(1,H11)","RAC-005-T06","1684.25","-8.75","-7.5","-13","-10.5","566.75","21.5","-18.5","19113.75","-109","1624"
"89(1,A12)","RAC-005-T08","100.25","25.25","-5.5","-9","-8.5","270.75","0","-14","6059.75","-75.5","1330"
"90(1,B12)","RAM-006","4584.25","139.25","3377.5","-11","-5.5","7099.75","96","-10.5","594.75","-64.5","928"
"91(1,C12)","RAC-006-T01","-124.75","0.75","-2.5","12","-1.5","61.25","-4","-2.5","-102.25","-66","1463"
"92(1,D12)","RAC-006-T06","-232.75","-17.75","-10.5","-16","-15.5","-5.75","-24","-17.5","10147.75","-121","1488"
"93(1,E12)","RAC-006-T08","-77.75","3.25","2.5","9","8.5","17.75","19","8.5","4097.75","-4","1279"
"94(1,F12)","HCAM-001","-169.75","-4.75","0.5","-2","0.5","-0.25","-1","-6.5","-132.25","-48","1450"
"95(1,G12)","HCAM-001","-131.75","1.25","-1","-4","6.5","1.75","14","3.5","-90.25","-9.5","1272"
"96(1,H12)","RAM-012","2936.25","292.25","-8.5","-20","-12.5","-7.25","9","-24.5","149.75","-102","1439"

"DataType:","Count"
"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"1(1,A1)","Background0","79","82","104","116","95","84","87","117","120","113","997"
"2(1,B1)","African-Mix-Standard01","49","86","85","86","79","87","66","85","65","65","753"
"3(1,C1)","African-Mix-Standard02","91","98","111","114","109","119","119","165","105","145","1176"
"4(1,D1)","African-Mix-Standard03","61","83","121","99","102","89","89","100","104","113","961"
"5(1,E1)","African-Mix-Standard04","85","93","107","135","98","110","111","134","141","133","1147"
"6(1,F1)","African-Mix-Standard05","92","115","123","139","115","107","102","120","121","124","1158"
"7(1,G1)","African-Mix-Standard06","118","117","120","117","100","95","121","141","163","148","1240"
"8(1,H1)","African-Mix-Standard07","114","96","123","136","121","132","139","121","155","148","1285"
"9(1,A2)","Background0","94","98","109","115","107","104","107","121","138","131","1124"
"10(1,B2)","African-Mix-Standard01","69","111","100","135","126","106","116","115","132","131","1141"
"11(1,C2)","African-Mix-Standard02","54","73","86","95","99","77","78","91","77","84","814"
"12(1,D2)","African-Mix-Standard03","86","104","92","128","89","131","117","103","138","142","1130"
"13(1,E2)","African-Mix-Standard04","82","103","111","121","112","116","93","121","132","119","1110"
"14(1,F2)","African-Mix-Standard05","108","114","112","122","115","96","117","121","151","135","1191"
"15(1,G2)","African-Mix-Standard06","109","100","135","136","106","107","93","124","153","124","1187"
"16(1,H2)","African-Mix-Standard07","92","110","122","126","121","105","117","113","145","143","1194"
"17(1,A3)","Healthy-control-negative","66","60","77","77","78","57","66","83","86","86","736"
"18(1,B3)","Healthy-control-negative","89","91","107","106","102","80","119","109","136","141","1080"
"19(1,C3)","RCM-037","82","87","99","113","95","97","106","113","135","101","1028"
"20(1,D3)","RCC-037-T01","100","88","98","124","117","110","120","102","146","136","1141"
"21(1,E3)","RCC-037-T07","102","90","109","126","110","121","100","120","143","122","1143"
"22(1,F3)","RCC-037-T08","115","95","107","129","109","122","135","117","167","133","1229"
"23(1,G3)","RCM-040","106","107","126","122","112","118","103","112","159","130","1195"
"24(1,H3)","RCC-040-T01","112","101","135","163","113","123","138","137","183","162","1367"
"25(1,A4)","RCC-040-T07","93","115","100","120","111","108","108","120","169","139","1183"
"26(1,B4)","RCC-040-T08","82","116","107","135","108","103","127","105","129","136","1148"
"27(1,C4)","RCM-042","103","109","114","116","120","122","98","139","177","159","1257"
"28(1,D4)","RCC-042-T01","114","109","114","123","110","121","139","146","190","158","1324"
"29(1,E4)","RCC-042-T07","122","112","115","112","118","126","115","132","169","143","1264"
"30(1,F4)","RCC-042-T08","110","98","125","111","110","110","127","122","161","154","1228"
"31(1,G4)","RCM-043","116","108","95","125","100","140","113","122","165","149","1233"
"32(1,H4)","RCC-043-T01","118","122","128","129","117","134","144","153","186","158","1389"
"33(1,A5)","RCC-043-T07","104","110","107","122","107","108","112","137","168","138","1213"
"34(1,B5)","RCM-043-T08","108","116","120","118","136","115","110","129","171","142","1265"
"35(1,C5)","RCM-045","107","115","124","157","109","112","125","137","161","159","1306"
"36(1,D5)","RCC-045-T01","106","105","116","130","108","121","119","151","180","144","1280"
"37(1,E5)","RCC-045-T07","127","133","121","126","108","112","114","136","183","178","1338"
"38(1,F5)","RCC-045-T08","79","105","111","113","115","93","103","117","142","134","1112"
"39(1,G5)","RCM-046","126","107","124","131","115","117","138","138","174","166","1336"
"40(1,H5)","RCC-046-T01","111","95","111","135","118","119","116","141","201","146","1293"
"41(1,A6)","RCC-046-T07","133","115","125","132","114","141","128","124","198","154","1364"
"42(1,B6)","RCC-046-T08","115","121","127","116","107","130","122","140","173","135","1286"
"43(1,C6)","RCM-047","113","123","112","143","128","116","142","151","177","173","1378"
"44(1,D6)","RCC-047-T01","122","130","131","132","148","146","146","133","210","178","1476"
"45(1,E6)","RCC-047-T07","134","116","134","147","123","126","116","143","175","177","1391"
"46(1,F6)","RCC-047-T08","108","112","112","160","116","138","113","146","187","176","1368"
"47(1,G6)","RCM-049","112","121","112","154","120","125","131","127","158","148","1308"
"48(1,H6)","RCC-049-T01","110","95","111","139","129","94","107","101","150","137","1173"
"49(1,A7)","RCC-049-T07","110","125","121","148","118","105","103","126","184","145","1285"
"50(1,B7)","RCC-049-T08","73","102","100","126","108","98","110","128","143","117","1105"
"51(1,C7)","RCM-050","86","88","121","126","120","133","122","134","146","131","1207"
"52(1,D7)","RCC-050-T01","122","111","139","146","118","125","140","147","195","182","1425"
"53(1,E7)","RCC-050-T07","98","116","129","138","127","124","128","155","192","171","1378"
"54(1,F7)","RCC-050-T08","86","99","125","108","119","111","132","126","185","133","1224"
"55(1,G7)","RCC-051-T01","116","109","131","139","124","126","127","135","203","138","1348"
"56(1,H7)","RCC-051-T07","120","136","147","153","134","153","155","124","208","174","1504"
"57(1,A8)","RCC-051-T08","97","102","96","111","105","113","129","120","195","149","1217"
"58(1,B8)","RCM-052","115","122","145","151","122","128","116","147","165","150","1361"
"59(1,C8)","RCC-052-T01","118","98","109","126","119","115","126","151","201","173","1336"
"60(1,D8)","RCC-052-T07","138","109","143","147","146","149","151","134","198","187","1502"
"61(1,E8)","RCC-052-T08","128","118","122","167","106","115","144","176","217","156","1449"
"62(1,F8)","RCM-053","125","130","120","134","112","119","168","161","223","156","1448"
"63(1,G8)","RCC-053-T01","116","93","121","138","121","153","123","153","196","162","1376"
"64(1,H8)","RCC-053-T07","117","118","106","163","139","113","139","140","195","174","1404"
"65(1,A9)","RCC-053-T08","66","85","73","86","71","92","93","90","132","95","883"
"66(1,B9)","RCM-056","131","129","136","164","134","139","129","165","238","184","1549"
"67(1,C9)","RCC-056-T01","103","113","135","138","117","125","138","149","199","137","1354"
"68(1,D9)","RCC-056-T07","131","115","135","138","132","133","136","139","233","159","1451"
"69(1,E9)","RCC-056-T08","120","130","129","149","138","154","120","166","251","153","1510"
"70(1,F9)","RCM-058","77","87","85","114","102","85","88","93","148","99","978"
"71(1,G9)","RCC-058-T01","111","101","145","148","127","114","125","156","210","174","1411"
"72(1,H9)","RCC-058-T07","118","121","129","119","124","138","137","147","242","172","1447"
"73(1,A10)","RCC-058-T08","95","95","90","117","99","93","116","122","196","121","1144"
"74(1,B10)","RCM-059","121","120","105","155","125","128","148","152","260","170","1484"
"75(1,C10)","RCC-059-T01","103","134","148","129","110","117","130","161","212","192","1436"
"76(1,D10)","RCC-059-T07","125","102","121","154","135","134","127","138","250","155","1441"
"77(1,E10)","RCC-059-T08","119","102","132","139","123","145","127","139","222","187","1435"
"78(1,F10)","RCM-060","100","135","134","140","139","109","126","140","255","162","1440"
"79(1,G10)","RCC-060-T01","154","145","133","148","134","139","138","160","282","177","1610"
"80(1,H10)","RCC-060-T07","131","127","124","150","117","135","166","177","262","184","1573"
"81(1,A11)","RCC-060-T08","127","111","125","124","116","112","138","136","251","173","1413"
"82(1,B11)","RAM-001","96","77","100","110","80","104","130","135","208","139","1179"
"83(1,C11)","RAC-001-T01","132","136","167","144","144","134","153","180","264","161","1615"
"84(1,D11)","RAC-001-T06","80","71","109","85","89","97","102","88","194","110","1025"
"85(1,E11)","RAC-001-T08","145","116","142","128","127","121","122","147","260","189","1497"
"86(1,F11)","RAM-005","115","127","122","138","123","148","145","158","257","179","1512"
"87(1,G11)","RAC-005-T01","126","127","130","139","133","139","152","134","261","151","1492"
"88(1,H11)","RAC-005-T06","135","126","141","172","142","147","130","158","292","181","1624"
"89(1,A12)","RAC-005-T08","105","97","107","125","114","109","124","128","243","178","1330"
"90(1,B12)","RAM-006","59","75","89","66","84","71","89","80","189","126","928"
"91(1,C12)","RAC-006-T01","137","96","125","126","127","118","135","136","274","189","1463"
"92(1,D12)","RAC-006-T06","118","108","125","149","137","112","135","144","261","199","1488"
"93(1,E12)","RAC-006-T08","113","109","97","123","99","97","103","141","246","151","1279"
"94(1,F12)","HCAM-001","127","115","123","137","140","111","109","141","274","173","1450"
"95(1,G12)","HCAM-001","91","93","92","101","108","121","117","137","256","156","1272"
"96(1,H12)","RAM-012","127","112","130","124","116","117","136","145","261","171","1439"

"DataType:","Avg Net MFI"
"Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"African-Mix-Standard01","5882.75","611.5","0","-15","-10.5","500","50.25","-15.5","-236.5","53.5"
"African-Mix-Standard02","3539.75","202.5","-1.5","-14","-7.5","140.25","22.75","-12.5","-189.75","4.25"
"African-Mix-Standard03","1592.25","59","-1","-11.5","-6.5","35.25","4","-8.5","-55.75","5.75"
"African-Mix-Standard04","593","8.75","-3","-8.5","-5","3.25","-1.5","-7.5","4.5","-12"
"African-Mix-Standard05","202","4","0","-5.5","-1.5","0.5","0.75","1.5","-15.75","12.75"
"African-Mix-Standard06","50.5","2","-1","-3.5","-1.75","2.75","4","3","18.75","13"
"African-Mix-Standard07","33.5","5","5.5","1.75","2.5","2.75","8","12.5","-14.75","17.75"
"Healthy-control-negative","308.75","50.75","49.5","33","26","38.75","46","53.5","202.25","180"
"Healthy-control-negative","-170.75","-16.75","-1.5","-11","-8.5","-6.25","-22","-15.5","-87.25","-56"
"RCM-037","2015.75","755.25","439.5","-12","-7.5","1.75","-9.5","-16.5","31.75","-92"
"RCC-037-T01","-226.25","5197.25","-4.5","-14.5","-12.5","-4.25","-16","-10","-219.75","-92"
"RCC-037-T07","-336.75","2868.75","-11.5","-18","-12.5","-12.25","-16","-1.5","20581.75","-129"
"RCC-037-T08","-247.75","2500.25","-7.5","-12","-8.5","-3.75","21","8.5","9011.75","-68"
"RCM-040","9112.25","2145.25","-3.5","-15.5","-13.5","5222.25","887","2765","425.75","560"
"RCC-040-T01","1526.75","-13.75","-11.5","-20","-14.5","47.75","98.5","-24.5","-279.25","-95"
"RCC-040-T07","-150.75","-6.75","-8.5","-13","-11.5","-2.25","7","-17.5","21017.75","-107"
"RCC-040-T08","-130.25","17.25","-3.5","-9","-11.5","3.75","20","-10.5","6930.75","-87"
"RCM-042","10457.25","806.25","-8","-6.5","-9.5","492.25","-7.5","-14.5","125.75","-79"
"RCC-042-T01","1707.75","4102.25","22","-5","11","3.75","-4","40","-219.75","-91.5"
"RCC-042-T07","1080.25","3979.25","-6.5","-11.5","-11.5","4207.75","49","-9.5","17729.75","-32"
"RCC-042-T08","1648.25","4501.25","3.5","-9","-12","6149.25","115","-12.5","9597.75","-54"
"RCM-043","9841.25","37.25","269.5","-18","-13.5","545.75","-10","-22.5","-183.25","-104"
"RCC-043-T01","5785.25","-2.75","0.5","-14","-10.5","-6.75","-2","-12.5","-173.75","-82"
"RCC-043-T07","267.75","-13.75","-10.5","-17","-12.5","-10.75","-13.5","723.5","19954.25","-128"
"RCM-043-T08","-15.25","-18.75","-8","-19","-14.5","-15.25","-15","643.5","8002.75","-113.5"
"RCM-045","7952.25","-8.75","-2.5","-18","-11.5","348.75","-12","-22.5","77.75","-84"
"RCC-045-T01","45.25","6487.25","-6.5","-14","-8.5","-8.25","-16","3.5","-185.25","-91"
"RCC-045-T07","-263.75","3799.25","-9.5","25.5","-9.5","-5.25","-14","-13.5","21089.75","-99.5"
"RCC-045-T08","-162.75","3994.25","-0.5","10","-2.5","-1.25","1","-3.5","8705.25","-52.5"
"RCM-046","10659.75","-2.75","-7","-18","-12.5","5846.75","232","-3.5","-122.25","9"
"RCC-046-T01","4163.25","-13.75","-9.5","-19","-12.5","4489.75","-9","-21.5","309.75","268.5"
"RCC-046-T07","1914.25","-12.75","-10.5","6","-14.5","2738.75","-20","-21.5","21243.25","1123.5"
"RCC-046-T08","450.25","-9.75","-7.5","-16","-14.5","984.25","-14","130","7501.75","315"
"RCM-047","2347.25","347.25","-6","-13","-10.5","42.75","222","-10.5","-102.25","-89"
"RCC-047-T01","-253.75","-10.25","-11.5","4","-9.5","-11.75","-21","-9.5","-262.25","-109.5"
"RCC-047-T07","-342.75","-9.75","-13.5","-16","-13.5","-9.25","-29","-18.5","21224.75","-131"
"RCC-047-T08","-282.25","-12.75","-12.5","-16","-12.5","-11.25","-19","-17.5","7682.75","-96.5"
"RCM-049","8561.75","897.25","4.5","-18","-11.5","-12.25","-15","-22.5","-184.25","-93"
"RCC-049-T01","249.75","917.25","-0.5","-11","-4.5","-3.25","6","-0.5","-145.75","-20"
"RCC-049-T07","-321.75","543.25","-12.5","22","-14.5","-13.25","-30","-24.5","18070.25","-137"
"RCC-049-T08","-315.75","1493.75","-5","-5","-13.5","-12.75","-24","-25","7674.75","-118"
"RCM-050","8375.75","493.75","165.5","-17","-14.5","1297.75","-11","-24","194.75","-115"
"RCC-050-T01","4101.25","-4.75","-11.5","-21","-13.5","-8.25","-24","-21.5","-293.25","-122.5"
"RCC-050-T07","-129.25","-21.75","-11.5","23","-16.5","-17.25","-29","1307.5","17680.75","-133"
"RCC-050-T08","-209.75","-6.75","-8.5","44","-13.5","-9.25","-23","5573","7609.75","-103"
"RCC-051-T01","-280.75","4607.25","-10.5","-15","-15.5","-12.25","-27","-17.5","-222.25","-107.5"
"RCC-051-T07","-319.75","519.75","-12.5","-15","-12.5","-6.25","-18","1.5","18409.25","-105"
"RCC-051-T08","-226.75","633.75","-6.5","-16","-12.5","-10.25","-19","-19.5","7519.75","-80"
"RCM-052","2051.25","124.25","-10.5","-22","-14.5","1270.75","-18.5","-29.5","-185.25","-106.5"
"RCC-052-T01","-100.25","839.25","18.5","16","37.5","23.75","16","111.5","-115.25","-71"
"RCC-052-T07","-383.75","954.25","-0.5","-17","-14.5","-16.25","-32","-17.5","18901.25","-142"
"RCC-052-T08","-251.25","791.75","7.5","-16","-10","-12.25","-19.5","-12.5","8905.75","-79.5"
"RCM-053","9779.25","112.25","-4","-9","-10.5","99.75","-12","22.5","-115.25","-13"
"RCC-053-T01","2629.75","4574.25","-8.5","-20","-14.5","-16.25","-26","-24.5","-248.75","-106.5"
"RCC-053-T07","154.25","2062.25","-10.5","0","-11.5","-15.25","-16","-21","19595.75","-97.5"
"RCC-053-T08","-34.25","2590.25","-6.5","-10.5","-12.5","-15.25","-12","-20.5","5760.75","-101"
"RCM-056","3829.25","4983.25","21.5","-7","-6.5","19.75","8","0.5","-17.75","-59"
"RCC-056-T01","-175.75","1739.25","-10.5","-20","-14.5","-16.25","-20","-23.5","-229.25","-104"
"RCC-056-T07","-277.75","1037.25","-10.5","-14.5","-9.5","-9.25","1","-9.5","20414.75","-109"
"RCC-056-T08","-231.75","877.25","-7.5","-9","-9.5","-8.25","-5.5","-10.5","7603.75","-77"
"RCM-058","12812.25","27.25","46.5","12.5","15","10618.75","69","12.5","1653.25","64"
"RCC-058-T01","763.25","2657.25","5.5","32.5","74.5","204.25","39","148.5","1.75","-7.5"
"RCC-058-T07","-175.75","2150.25","-1.5","-9","3.5","-0.25","-1","9.5","16973.75","-74"
"RCC-058-T08","-173.75","3016.25","-1.5","-7","3.5","3.75","8.5","12.5","5376.75","-57"
"RCM-059","6190.25","751.25","-12.5","-19","-14.5","-5.25","149","-23.5","441.75","-93.5"
"RCC-059-T01","629.25","249.25","-6.5","7","4","-2.25","-3","11.5","-207.25","-85"
"RCC-059-T07","-274.75","67.25","-9.5","56","-15.5","-17.25","-26","-25.5","19100.25","-126"
"RCC-059-T08","-265.75","186.75","-7","56","-12.5","-13.25","-18","-19.5","6293.25","-98"
"RCM-060","683.75","1284.25","-9.5","-17","-13.5","-12.25","-16","-20.5","-242.25","-98.5"
"RCC-060-T01","-185.75","35.25","-6.5","2","22","14.75","4","59","-202.75","-87"
"RCC-060-T07","-333.75","-9.75","-10.5","-14","-8.5","-11.25","-16","-19.5","18414.25","-117.5"
"RCC-060-T08","-113.75","30.25","-0.5","16.5","16.5","26.75","82.5","49.5","18215.75","16"
"RAM-001","8483.25","881.25","8.5","-5","-5.5","3876.75","1411.5","-4.5","92.25","-45"
"RAC-001-T01","261.75","1420.25","-1.5","3","1.5","24.75","38","34.5","-94.75","-64"
"RAC-001-T06","-286.75","179.25","-11.5","-11","-10.5","-7.25","5","-7.5","1653.25","-110"
"RAC-001-T08","-186.75","99.25","-5.5","-5","-2.5","-0.25","33","10.5","4982.25","-45"
"RAM-005","9680.25","4010.25","18.5","1245","-1.5","2849.25","196","784","-248.25","-91"
"RAC-005-T01","8119.25","88.25","2","16","30.5","2818.75","51.5","86.5","-33.25","-5"
"RAC-005-T06","1684.25","-8.75","-7.5","-13","-10.5","566.75","21.5","-18.5","19113.75","-109"
"RAC-005-T08","100.25","25.25","-5.5","-9","-8.5","270.75","0","-14","6059.75","-75.5"
"RAM-006","4584.25","139.25","3377.5","-11","-5.5","7099.75","96","-10.5","594.75","-64.5"
"RAC-006-T01","-124.75","0.75","-2.5","12","-1.5","61.25","-4","-2.5","-102.25","-66"
"RAC-006-T06","-232.75","-17.75","-10.5","-16","-15.5","-5.75","-24","-17.5","10147.75","-121"
"RAC-006-T08","-77.75","3.25","2.5","9","8.5","17.75","19","8.5","4097.75","-4"
"HCAM-001","-169.75","-4.75","0.5","-2","0.5","-0.25","-1","-6.5","-132.25","-48"
"HCAM-001","-131.75","1.25","-1","-4","6.5","1.75","14","3.5","-90.25","-9.5"
"RAM-012","2936.25","292.25","-8.5","-20","-12.5","-7.25","9","-24.5","149.75","-102"

"DataType:","Units"
"Analyte:","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"BeadID:","18","30","35","42","47","62","63","64","65","72"
"Units:","","","","","","","","","",""

"DataType:","Per Bead Count"
"Analyte:","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"BeadID:","18","30","35","42","47","62","63","64","65","72"
"Per Bead:","50","50","50","50","50","50","50","50","50","50"

"DataType:","Dilution Factor"
"Location","Sample","Dilution Factor"
"1(1,A1)","Background0"
"2(1,B1)","African-Mix-Standard01","100"
"3(1,C1)","African-Mix-Standard02","200"
"4(1,D1)","African-Mix-Standard03","400"
"5(1,E1)","African-Mix-Standard04","800"
"6(1,F1)","African-Mix-Standard05","1600"
"7(1,G1)","African-Mix-Standard06","3200"
"8(1,H1)","African-Mix-Standard07","6400"
"9(1,A2)","Background0"
"10(1,B2)","African-Mix-Standard01","100"
"11(1,C2)","African-Mix-Standard02","200"
"12(1,D2)","African-Mix-Standard03","400"
"13(1,E2)","African-Mix-Standard04","800"
"14(1,F2)","African-Mix-Standard05","1600"
"15(1,G2)","African-Mix-Standard06","3200"
"16(1,H2)","African-Mix-Standard07","6400"
"17(1,A3)","Healthy-control-negative","100"
"18(1,B3)","Healthy-control-negative","100"
"19(1,C3)","RCM-037","100"
"20(1,D3)","RCC-037-T01","100"
"21(1,E3)","RCC-037-T07","100"
"22(1,F3)","RCC-037-T08","100"
"23(1,G3)","RCM-040","100"
"24(1,H3)","RCC-040-T01","100"
"25(1,A4)","RCC-040-T07","100"
"26(1,B4)","RCC-040-T08","100"
"27(1,C4)","RCM-042","100"
"28(1,D4)","RCC-042-T01","100"
"29(1,E4)","RCC-042-T07","100"
"30(1,F4)","RCC-042-T08","100"
"31(1,G4)","RCM-043","100"
"32(1,H4)","RCC-043-T01","100"
"33(1,A5)","RCC-043-T07","100"
"34(1,B5)","RCM-043-T08","100"
"35(1,C5)","RCM-045","100"
"36(1,D5)","RCC-045-T01","100"
"37(1,E5)","RCC-045-T07","100"
"38(1,F5)","RCC-045-T08","100"
"39(1,G5)","RCM-046","100"
"40(1,H5)","RCC-046-T01","100"
"41(1,A6)","RCC-046-T07","100"
"42(1,B6)","RCC-046-T08","100"
"43(1,C6)","RCM-047","100"
"44(1,D6)","RCC-047-T01","100"
"45(1,E6)","RCC-047-T07","100"
"46(1,F6)","RCC-047-T08","100"
"47(1,G6)","RCM-049","100"
"48(1,H6)","RCC-049-T01","100"
"49(1,A7)","RCC-049-T07","100"
"50(1,B7)","RCC-049-T08","100"
"51(1,C7)","RCM-050","100"
"52(1,D7)","RCC-050-T01","100"
"53(1,E7)","RCC-050-T07","100"
"54(1,F7)","RCC-050-T08","100"
"55(1,G7)","RCC-051-T01","100"
"56(1,H7)","RCC-051-T07","100"
"57(1,A8)","RCC-051-T08","100"
"58(1,B8)","RCM-052","100"
"59(1,C8)","RCC-052-T01","100"
"60(1,D8)","RCC-052-T07","100"
"61(1,E8)","RCC-052-T08","100"
"62(1,F8)","RCM-053","100"
"63(1,G8)","RCC-053-T01","100"
"64(1,H8)","RCC-053-T07","100"
"65(1,A9)","RCC-053-T08","100"
"66(1,B9)","RCM-056","100"
"67(1,C9)","RCC-056-T01","100"
"68(1,D9)","RCC-056-T07","100"
"69(1,E9)","RCC-056-T08","100"
"70(1,F9)","RCM-058","100"
"71(1,G9)","RCC-058-T01","100"
"72(1,H9)","RCC-058-T07","100"
"73(1,A10)","RCC-058-T08","100"
"74(1,B10)","RCM-059","100"
"75(1,C10)","RCC-059-T01","100"
"76(1,D10)","RCC-059-T07","100"
"77(1,E10)","RCC-059-T08","100"
"78(1,F10)","RCM-060","100"
"79(1,G10)","RCC-060-T01","100"
"80(1,H10)","RCC-060-T07","100"
"81(1,A11)","RCC-060-T08","100"
"82(1,B11)","RAM-001","100"
"83(1,C11)","RAC-001-T01","100"
"84(1,D11)","RAC-001-T06","100"
"85(1,E11)","RAC-001-T08","100"
"86(1,F11)","RAM-005","100"
"87(1,G11)","RAC-005-T01","100"
"88(1,H11)","RAC-005-T06","100"
"89(1,A12)","RAC-005-T08","100"
"90(1,B12)","RAM-006","100"
"91(1,C12)","RAC-006-T01","100"
"92(1,D12)","RAC-006-T06","100"
"93(1,E12)","RAC-006-T08","100"
"94(1,F12)","HCAM-001","100"
"95(1,G12)","HCAM-001","100"
"96(1,H12)","RAM-012","100"


"DataType:","Analysis Types"
"Analyte:","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp"
"AnalysisType","None","None","None","None","None","None","None","None","None","None"

"DataType:","Audit Logs"
"UserId","Date","Message"

"DataType:","Warnings/Errors"
"Location","Status","Message"
"1,B1","Ok","The acquisition had at least one region that did not reach the specified count."

-- CRC --
CRC32: 53F6CEE6
