"Sample","AMA1_TotalIgG","pp28_TotalIgG","Schisto_TotalIgG","pp65_TotalIgG","BSA_TotalIgG","MSP1_TotalIgG","HRPII_TotalIgG","CelTos_TotalIgG","CSP_TotalIgG","PfGarp_TotalIgG"
"African-Mix-Standard01",7686.5,837.25,66,26.75,70.75,1188,1892,53.5,418.25,383.25
"African-Mix-Standard02",3698.25,292.25,71.75,18,40.5,548.5,966,31,244,196
"African-Mix-Standard03",1619.5,156.5,72.25,11.5,25,265.5,452,16.5,110.5,86
"African-Mix-Standard04",1059.75,104,69.25,8,18.5,165.75,277,11.25,80.5,59.75
"African-Mix-Standard05",619,56.5,72.5,4.5,14.5,91.5,143,6,68.5,36
"African-Mix-Standard06",325,27,78.5,1,12,52.5,81.75,3.5,35.25,18.5
"African-Mix-Standard07",153.75,14.75,83.75,0.25,10.25,31.25,37.75,2.75,16.75,12.25
