"Sample","AMA1_IgG3","PP28_IgG3","Schisto_IgG3","PP65_IgG3","BSA_IgG3","MSP1_IgG3","HRPII_IgG3","CelTos_IgG3","CSP_IgG3","PfGarp_IgG3"
"African-Mix-Standard01",617.25,11.5,25.5,4.5,5.5,39,1877.75,5,50.25,20.75
"African-Mix-Standard02",255.25,8,21,3,6.5,20,787,3,24,10.5
"African-Mix-Standard03",97,6,17,2.5,6,10.5,300.5,2.5,12,5
"African-Mix-Standard04",37.5,5.5,16.5,3,4,7,108.75,2.75,7,3.5
"African-Mix-Standard05",15,5.5,16.5,3,4,5.5,44.75,2,5,2.5
"African-Mix-Standard06",6,4.5,14.5,2.5,4.5,4,16,1.5,2.5,0.5
"African-Mix-Standard07",3.5,5,15.75,2.5,4,3.5,8,2.5,2,1
