"Sample","AMA1_IgG1","pp28_IgG1","Schisto_IgG1","pp65_IgG1","BSA_IgG1","MSP1_IgG1","HRPII_IgG1","CelTos_IgG1","CSP_IgG1","PfGarp_IgG1"
"RCC-060-T07",81,14,11,3,18,4,15,12,18803.5,27.5
"RCC-060-T08",276,29,-4,8.5,43,17,88.5,56,18580,136
"RCM-037",2429.5,778,460,4,19,16,20.5,14,420,52
"RCM-040",9532,2174,23,6.5,13,5242.5,923,2801.5,820,710
"RCM-042",10873,831,14.5,11.5,17,508.5,24.5,18,516,67
"RCM-043",10261,66,296,4,13,566,26,14,211,46
"RCM-043-T08",405.5,11,19.5,4,12,6,22,681,8398,37.5
"RCM-045",8370,18,22,2,15,367,22,12,470,64
"RCM-046",11078.5,25,18.5,3,14,5866,267,32,271,158
"RCM-047",2764,373,17.5,6,16,60,255,23,289,58
"RCM-049",8979.5,924,29,2,15,6,19,12,208,55
"RCM-050",8796.5,523.5,193,6,12,1319,26,13.5,590,36
"RCM-052",2472,154,17,1,12,1292,18.5,8,210,44.5
"RCM-053",10196,138,19.5,10,16,117,21,56,276,134
"RCM-056",4242,5005,41,8,20,33,37,30,369.5,84
"RCM-058",13203.5,27.5,44.5,6,41.5,10610.5,76.5,20.5,2019,185.5
"RCM-059",6611,781,15,4,12,16,186,14,837,57.5
"RCM-060",1103.5,1313,17,5,13,8,20,16,152,51.5
