"Sample","AMA1_IgG1","pp28_IgG1","Schisto_IgG1","pp65_IgG1","BSA_IgG1","MSP1_IgG1","HRPII_IgG1","CelTos_IgG1","CSP_IgG1","PfGarp_IgG1"
"African-Mix-Standard01",6299.5,637.25,23.5,4,16,517.25,83.25,18,154.75,200.5
"African-Mix-Standard02",3953.5,225.25,19,2,19,154.5,52.75,18,198.5,148.25
"African-Mix-Standard03",2005,80.75,18.5,3.5,20,48.5,33,21,331.5,148.75
"African-Mix-Standard04",1004.25,29,15,5,21.5,15,26,20.5,390.25,129.5
"African-Mix-Standard05",609.75,20.75,14.5,4.5,25,8.75,24.75,26,366.5,150.75
"African-Mix-Standard06",458.5,19,13.75,6.75,24.75,11.25,28.25,27.75,401.25,151.25
"African-Mix-Standard07",437.25,17.75,16,7.75,29,7,28,33,363.5,151.75
