"Sample","AMA1_IgG3","pp28_IgG3","Schisto_IgG3","pp65_IgG3","BSA_IgG3","MSP1_IgG3","HRPII_IgG3","CelTos_IgG3","CSP_IgG3","PfGarp_IgG3"
"African-Mix-Standard01",655,13.5,23.75,4,6.5,45,1913.25,3.5,54,13.75
"African-Mix-Standard02",246.75,7,19.5,3.5,6,21,711.25,2.5,22.5,5
"African-Mix-Standard03",80.75,6.75,18.75,3.25,5.25,11.25,241.75,2.75,11,3.25
"African-Mix-Standard04",33,5.5,18,2,5,7,89,2.5,6.5,2
"African-Mix-Standard05",15.25,4.75,17,2.25,4.75,5.75,36.75,2.25,3.75,1.25
"African-Mix-Standard06",5.5,4.5,17,2,5,4,15,2,2,0
"African-Mix-Standard07",3.75,5.25,16.75,2.75,4.25,4.75,6.25,2.25,2.25,1.25
