"Sample","AMA1_IgG1","PP28_IgG1","Schisto_IgG1","PP65_IgG1","BSA_IgG1","MSP1_IgG1","HRPII_IgG1","CelTos_IgG1","CSP_IgG1","PfGarp_IgG1"
"African-Mix-Standard01",5168.5,463.25,18,2.75,15,317,53.5,11.5,165,138.25
"African-Mix-Standard02",2889,164.25,15.5,4.25,15,87,18,8,112,72.5
"African-Mix-Standard03",1437.75,54.75,11.5,4.5,20,32.5,3.25,7.75,135.5,88.5
"African-Mix-Standard04",595,24,12,6,19,17.75,0.25,10,140.25,80.75
"African-Mix-Standard05",272.5,16.25,12.5,8,19.5,15,-0.25,13.25,170,95.75
"African-Mix-Standard06",197.25,14.75,11.25,8.5,20,16.5,-2,11,247.25,106.75
"African-Mix-Standard07",194,18.75,10.5,11.5,26.5,17,1.25,16,247,105
