"Sample","AMA1_IgG1","pp28_IgG1","Schisto_IgG1","pp65_IgG1","BSA_IgG1","MSP1_IgG1","HRPII_IgG1","CelTos_IgG1","CSP_IgG1","PfGarp_IgG1"
"African-Mix-Standard1",7994.25,729.5,10,5.5,21,611,256.25,7,244,300
"African-Mix-Standard2",5161.25,255.25,6.5,1.5,24,172.5,149,6.5,234,171
"African-Mix-Standard3",2269,76,6,4.25,23.75,43,93.5,6.25,210,117.5
"African-Mix-Standard4",1010.5,28.75,5.5,0.5,24.5,17.5,89.25,7.75,248.5,124.5
"African-Mix-Standard5",381.75,17,4.5,6.75,28,15.75,86,8.5,195.75,92.25
"African-Mix-Standard6",283,9.75,-5.5,3,40,14,114.25,2,339.5,145.5
"African-Mix-Standard7",298.75,15.5,-4.5,7,40,7.5,132.75,16,339.75,161.25
