"Sample","AMA1_TotalIgG","PP28_TotalIgG","Schisto_TotalIgG","PP65_TotalIgG","BSA_TotalIgG","MSP1_TotalIgG","HRPII_TotalIgG","CelTos_TotalIgG","CSP_TotalIgG","PfGarp_TotalIgG"
"African-Mix-Standard01",16099.25,2562.75,59.5,40.75,85.5,3511,3274.5,82.75,989.5,1241
"African-Mix-Standard02",9832,1256.25,68,26.25,57.5,1690.25,1750.75,49.75,608,673.5
"African-Mix-Standard03",7599.5,911,76.25,20.75,39.5,1229.5,1254,38.25,508,509.75
"African-Mix-Standard04",4403.25,468,74.75,21,27,653.5,686.25,21.5,337,280
"African-Mix-Standard05",2162.25,230.75,70,7.75,18.75,324.75,340.75,13.25,241,174
"African-Mix-Standard06",1283,131.25,67,21.5,13.5,193.25,192.25,9,134,100.25
"African-Mix-Standard07",575.25,59.5,84,2.5,11,90.5,85,5.5,53.5,37
