"Sample","AMA1_TotalIgG","pp28_TotalIgG","Schisto_TotalIgG","pp65_TotalIgG","BSA_TotalIgG","MSP1_TotalIgG","HRPII_TotalIgG","CelTos_TotalIgG","CSP_TotalIgG","PfGarp_TotalIgG"
"African-Mix-Standard1",9198,2287.25,71.25,26.75,83.75,2917.75,3376.75,73.75,735.25,1165.25
"African-Mix-Standard2",7032.5,1325.5,59.5,14.5,58.5,1747,2279.25,48,487.5,623
"African-Mix-Standard3",4697,675.75,66.75,10,40,949.5,1240.5,28.25,349,370.5
"African-Mix-Standard4",2624,357,62.25,6.5,27.5,501.5,742.25,18,249.75,214.5
"African-Mix-Standard5",1614.75,196.75,63,4,19,271.5,418,11,162,129.5
"African-Mix-Standard6",825,96,61.25,9,15,138,191.5,6.5,95,70.75
"African-Mix-Standard7",438.5,49,69,0.5,13,76.5,109.75,3.5,54,35.5
