"Sample","AMA1_IgG3","pp28_IgG3","Schisto_IgG3","pp65_IgG3","BSA_IgG3","MSP1_IgG3","HRPII_IgG3","CelTos_IgG3","CSP_IgG3","PfGarp_IgG3"
"African-Mix-Standard1",337,10,20,3.5,5.5,36,1657,3.25,25,22
"African-Mix-Standard2",196.75,8,20,3,5.5,21,909,3.5,18.75,10.5
"African-Mix-Standard3",63.75,6,17,2.5,5.5,9.5,277.75,2.5,6.5,4
"African-Mix-Standard4",23.75,5,18,2,5,6,96,2,3.5,2
"African-Mix-Standard5",13.25,6,18.5,3,4,6.5,48.75,2.5,4,2
"African-Mix-Standard6",6.5,5,17,2.5,4.5,4.25,21.5,2.5,1.5,0.5
"African-Mix-Standard7",2.5,4.5,17,2.5,4.5,3,6.5,2,1.5,0.5
